gene_name,cn_type
AC005281.1,deletion
AC005288.1,deletion
AC005291.1,deletion
AC005291.2,deletion
AC005294.1,deletion
AC005296.1,deletion
AC005297.1,deletion
AC005297.2,deletion
AC005297.3,deletion
AC005300.1,deletion
AC005301.1,deletion
AC005303.1,deletion
AC005304.1,deletion
AC005304.2,deletion
AC005304.3,deletion
AC005306.1,deletion
AC005307.1,deletion
AC005323.1,deletion
AC005323.2,deletion
AC005324.1,deletion
AC005324.2,deletion
AC005324.3,deletion
AC005324.4,deletion
AC005324.5,deletion
AC005324.6,deletion
AC005326.1,deletion
AC005329.1,deletion
AC005329.2,deletion
AC005329.3,deletion
AC005330.1,deletion
AC005332.1,deletion
AC005332.2,deletion
AC005332.3,deletion
AC005332.4,deletion
AC005332.5,deletion
AC005332.6,deletion
AC005332.7,deletion
AC005332.8,deletion
AC005336.1,deletion
AC005336.2,deletion
AC005336.3,deletion
AC005339.1,deletion
AC005341.1,deletion
AC005342.1,deletion
AC005342.2,deletion
AC005344.1,deletion
AC005345.1,deletion
AC005351.1,deletion
AC005355.1,deletion
AC005355.2,deletion
AC005357.1,deletion
AC005357.2,deletion
AC005358.1,deletion
AC005358.2,deletion
AC005363.1,deletion
AC005363.2,deletion
AC005377.1,deletion
AC005379.1,deletion
AC005381.1,deletion
AC005383.1,deletion
AC005387.1,deletion
AC005387.2,deletion
AC005391.1,deletion
AC005392.1,deletion
AC005392.2,deletion
AC005392.3,deletion
AC005393.1,deletion
AC005394.1,deletion
AC005394.2,deletion
AC005410.1,deletion
AC005410.2,deletion
AC005412.1,deletion
AC005476.1,deletion
AC005476.2,deletion
AC005479.1,deletion
AC005479.2,deletion
AC005480.1,deletion
AC005480.2,deletion
AC005481.1,deletion
AC005482.1,deletion
AC005486.1,deletion
AC005487.1,deletion
AC005495.1,deletion
AC005498.1,deletion
AC005498.2,deletion
AC005498.3,deletion
AC005514.1,deletion
AC005515.1,deletion
AC005515.2,deletion
AC005518.1,deletion
AC005518.2,deletion
AC005519.1,deletion
AC005520.1,deletion
AC005520.2,deletion
AC005520.3,deletion
AC005520.4,deletion
AC005520.5,deletion
AC005521.1,deletion
AC005522.1,deletion
AC005523.1,deletion
AC005523.2,deletion
AC005524.1,deletion
AC005529.1,deletion
AC005531.1,deletion
AC005532.1,deletion
AC005532.2,deletion
AC005534.1,deletion
AC005534.2,deletion
AC005537.1,deletion
AC005538.1,deletion
AC005538.2,deletion
AC005539.1,deletion
AC005540.1,deletion
AC005544.1,deletion
AC005544.2,deletion
AC005546.1,deletion
AC005549.1,deletion
AC005550.1,deletion
AC005550.2,deletion
AC005551.1,deletion
AC005552.1,deletion
AC005559.1,deletion
AC005562.1,deletion
AC005562.2,deletion
AC005578.1,deletion
AC005580.1,deletion
AC005586.1,deletion
AC005586.2,deletion
AC005587.1,deletion
AC005588.1,deletion
AC005592.1,deletion
AC005593.1,deletion
AC005597.1,deletion
AC005606.1,deletion
AC005606.2,deletion
AC005609.1,deletion
AC005609.2,deletion
AC005609.3,deletion
AC005609.4,deletion
AC005609.5,deletion
AC005614.1,deletion
AC005614.2,deletion
AC005616.1,deletion
AC005618.1,deletion
AC005618.2,deletion
AC005618.3,deletion
AC005622.1,deletion
AC005625.1,deletion
AC005632.1,deletion
AC005632.2,deletion
AC005632.3,deletion
AC005632.4,deletion
AC005670.1,deletion
AC005670.2,deletion
AC005674.1,deletion
AC005674.2,deletion
AC005682.1,deletion
AC005691.1,deletion
AC005692.1,deletion
AC005692.2,deletion
AC005695.1,deletion
AC005695.2,deletion
AC005695.3,deletion
AC005696.1,deletion
AC005696.2,deletion
AC005696.3,deletion
AC005696.4,deletion
AC005697.1,deletion
AC005697.2,deletion
AC005699.1,deletion
AC005702.1,deletion
AC005702.2,deletion
AC005702.3,deletion
AC005702.4,deletion
AC005703.1,deletion
AC005703.2,deletion
AC005703.3,deletion
AC005703.4,deletion
AC005703.5,deletion
AC005703.6,deletion
AC005722.1,deletion
AC005722.2,deletion
AC005722.3,deletion
AC005725.1,deletion
AC005726.1,deletion
AC005726.2,deletion
AC005726.3,deletion
AC005726.4,deletion
AC005726.5,deletion
AC005730.1,deletion
AC005730.2,deletion
AC005730.3,deletion
AC005736.1,deletion
AC005736.2,deletion
AC005736.3,deletion
AC005740.1,deletion
AC005740.2,deletion
AC005740.3,deletion
AC005740.4,deletion
AC005741.1,deletion
AC005746.1,deletion
AC005746.2,deletion
AC005746.3,deletion
AC005753.1,deletion
AC005757.1,deletion
AC005758.1,deletion
AC005759.1,deletion
AC005771.1,deletion
AC005772.1,deletion
AC005774.1,deletion
